연번,단어_용어,이표기_오표기,대안어(안)
56,기그 워커,긱 워커,초단기 노동자
57,기증 스테이션,,"기증 공간, 기증 구역, 기증소, 기증대"
58,나노 팹,,나노 기술 연구 지원 센터
59,나이트 게임,,야간 경기
60,난민 포비아,,난민 공포증
61,내러티브,,"줄거리, 서사, 서사체, 서사물"
62,내셔널 트러스트,,국민 신탁
63,너지,넛지,"옆찌르기, 행동 유도, 주의 환기, 부드러운 권유(개입)"
64,넘버 플레이트,,번호판
65,네거티브 존,,사후 규제 구역
66,네버 코비드,,코로나 비감염
67,네오 모더니즘,,신모더니즘
68,네오클래시시즘,,신고전주의
69,네오클래식,,신고전적
70,네오파시즘,,신파시즘
71,네이미스트,,"작명가, 이름설계사"
72,네트 런처,넷 런처,그물총
73,네트 제로,넷 제로,순 배출 영점화
74,네트워킹 데이,,교류의 날
75,넥 쿨러,,"목 시원이, 냉각 목도리, 냉각 스카프"
76,노 딜,,합의 없는
77,노 리턴,,"무수익, 일회용, 중도 포기, 반품 불가"
78,노르딕,,"북 유럽형 경기, 북유럽형"
79,노르딕 스틱,,북유럽형 양손 지팡이
80,노르딕 워킹,,"북유럽식 걷기, 양손 지팡이 사용 걷기 "
81,노마드,,유목민
82,노마드 워커,,유목민형 노동자
83,노믹스,,경제 정책
84,노스탤지어,"노스텔지어, 노스텔지아, 노스탤지아","향수, 향수병"
85,노이즈 스크린,,소음 방지막
86,논버벌,넌버벌,"비언어, 무언의, 말없는"
87,뉴 그린,,"새 환경, 새 친환경, 새로운 친환경, 신 녹색"
88,뉴 노멀,,"새 기준, 새 일상"
89,니어쇼어링,,인접국 이전
90,니트족,,"무기력 청년 무직자, 무의지 청년 무직자"
91,다우너 소,,"광우병 소, 앉은뱅이 소"
92,다운 라이트,,"오른쪽 앞, 무대 오른쪽 앞"
93,다운 사이클,,"하강 국면, 하락 추세"
94,다운 턴,,하락 곡점
95,다운사이징,,"감축, 축소, 줄이기"
96,다이내믹 메모리,다이나믹 메모리,동적 기억 장치
97,다크 너지,다크 넛지,함정 상술
98,다크 스토어,다크 스토아,배송 전용 매장
99,다크 웹,,지하 웹
100,다크 투어,,역사 교훈 여행
101,다크패턴,,눈속임 설계
102,닥터 쇼핑,,병원 순례
103,더블딥,,이중 침체
104,데드 크로스,,"약세 전환 지표, 주가 거래량 하향"
105,데모데이,,시연회
106,데스크테리어,,책상 꾸미기
107,데이케어,,"주간 보호, 보육"
108,데이터 레이블러,"데이터 라벨러, 데이터 레이블링, 데이터 라벨링","데이터 주석, 데이터 주석자 "
109,데이터 바우처,,데이터 이용권
110,데이터셋,데이터 셋,데이터 집합
111,데이트레이딩,,"단타 매매, 초단타 매매"
112,데일리 웨어,,평상복
113,데탕트,데당트,긴장 완화
114,덱,데크,"평상, 나무 바닥"
115,덱 로드,데크 로드,"나무 바닥 산책길, 나무 바닥 등산길"
116,도그마,,"교조, 교리, 독단적 신념"
117,도슨트,,"(전시물) 해설사, 전문 안내원, 전문 도우미"
118,도슨트 북,,"전문 안내서, 전시 안내서"
119,도시 브랜딩,,"도시 상표화, 도시 이미지 단장"
120,도어스테핑,"도어스텝핑 도어 스태핑, ","출근길 문답, 약식 문답, 약식 기자 회견, 약식 회견, 약식 회담"
121,듀레이션,,"평균 자금 회수 기간, 평균 자금 상환 기간"
122,듀얼 라이프,,"두 지역살이, 순환 거주, 복수 거점 생활"
123,듀얼 컨버터,,"이중 변환기(逆竝變換器), 이중 역병렬 변환기"
124,드라이 에이징,,건식 숙성
125,드라이브정책,,주도 정책
126,드레스 살롱,,양장점
127,드론테인먼트,,"무인기 공연, 드론 공연"
128,드리프트 앵글,,활주각
129,드리핑,,"흘림법, 흘림 그림"
130,디마케팅,,수요 축소 (전략)
131,디밍,,"밝기 조정, 빛 조절, 빛 조절기"
132,디버거,,오류 수정자
133,디버그,디버깅,오류 수정
134,디베이트,,"논쟁 토론, (찬반) 토론"
135,디벨로퍼,디벨롭퍼 디밸롭퍼 디밸로퍼,"개발업자, 부동산 개발업자"
136,디브리핑,,"질문 조사, 임무 보고"
137,디비전,디비젼,"부문, 부, 구획"
138,디자인 풀,,디자인 인력 은행
139,디자인 허브,,디자인 거점
140,디제라티,,디지털 지식인
141,디지털 네이티브,,"디지털 세대, 디지털 태생, 디지털 원어민"
142,디지털 노마드족,,디지털 유목민
143,디지털 사이니지,,"디지털 맞춤형 광고, 전자 광고판"
144,디지털 시그너처,디지털 시그너처,전자 서명
145,디지털 에이징,,고령층 정보화
146,디지털 워커,,미래형 인력모델
147,디지털 트윈,,"가상 모형, 디지털 복제물"
148,디지털 팜 랜드,,디지털 농업 단지
149,디커플링,,탈동조화
150,디텍터,,"탐지기, 검출기, 검파기, 검전기"
151,디폴트옵션,,사전 지정 운영 제도
152,디프 러닝,딥 러닝,"심층 기계 학습, 심화 학습"
153,디프 체인지,딥 체인지,근본적 변화
154,디프 컨트롤,딥 컨트롤_딥 콘트롤,완벽 제어
155,디프 테크,딥 테크,기저 기술
156,디프 페이크,딥 페이크_딥 훼이크,"이미지 합성 기술, 가짜 영상, 얼굴 합성 영상, (인공 지능 기반) 첨단 조작 기술"
157,디플로마,,"졸업장, 수료증, 학위 증명서"
158,딜 소싱,,"투자처 발굴, 투자자 접촉단계"
159,라스트 마일,,최종 구간
160,라운드 테이블,,원탁회의
161,라이닝,,"안감, 2차 복공, 2차 도장, 2차 피복, 피복 보호 작업"
162,라이다 드론,,"측정 드론, 관측 드론, 3차원 레이저 측량 드론"
163,라이선싱,라이센싱,"면허, 허가"
164,라이트 블루,,하늘색
165,라이트 쇼,,"불빛 공연, 조명 공연, 조명 쇼, 빛 쇼"
166,라이프 라인,,생활 기반망
167,라이프 로그,,일상 정보
168,라이프 세이버,,"인명 구조원, 안전 요원, 생명 구조(원) "
169,라이프 태그,라이프 택,생명 팔찌
170,라이플,,소총
171,라키비움,,복합 문화 공간
172,라포르,라포,"신뢰 관계, 유대감"
173,래핑,랩핑,"포장, 도배"
174,래핑 광고,랩핑 광고,도배 광고
175,래핑 트럭,랩핑 트럭,광고 트럭
176,랜,,"(근거리) 통신망, 근거리망"
177,랜딩,,착지
178,러닝 개런티,런닝 개런티,흥행 보수
179,러닝 팩토리,러닝 팩토리,실습장
180,러프 지역,,"잡초 지역, 부정적 구역"
181,런 아웃,,(중심축) 이탈
182,런치 플레이션,,"점심 물가 상승, 점심값 상승 "
183,레거시,,"유산, 대회 유산"
184,레드 존,,"청소년 제한 구역, ○○ 위험 구역"
185,레몬 마켓,,정보 불균형 시장
186,레이블,,"음반 회사 상표, 꼬리표"
187,레이팅,,"등급 매김, 신용도"
188,레일 파크,,"철로 공원, 철도 공원, 기차 공원, 철길 공원"
189,레저웨어,레져웨어,여가 옷
190,레지스탕스,레지스탕트,저항
191,레지스터,,"저항기, 기록기"
192,레짐,,체제
193,레터 프레스,,"압착 인쇄, 띠 제본, 활판 인쇄"
194,레토르트,레또르트,고압 가열 살균
195,레퍼런스 매뉴얼,레퍼런스 매뉴얼,참조 설명서
196,레퍼리,,"심판장, 심판, 심사 위원"
197,레프트 윙,,"왼쪽 공격수, 왼쪽 날개"
198,렉처,렉쳐,"강연, 강의"
199,렌더링,,"완성 예상도, 구현 이미지, 구현 영상, 창작 연주, 영상 추출"
200,렌트 푸어,,세입 빈곤층
201,로 푸드,로우 푸드,저자극식
202,로고 라이트,,"문자 조명, 로고 조명, 밤길 조명"
203,로고젝터,,알림 조명
204,로그 시트,,운영 기록지
205,로그 파일,,사용 기록
206,로드 북,,도로 안내서
207,로드 체킹,,"도로 점검, 현황 점검, 사전 점검, 현장 점검"
208,로보어드바이저,로봇어드바이저,로봇 자산 관리사
209,로보틱스,,로봇 공학
210,로스 컷,,"손절매, 손절 매도"
211,로열박스,,귀빈석
212,로직,,논리
213,로진 백,,"송진, 송진 주머니"
214,로컬 소싱,,현지 조달
215,로컬 시네마,,"지역 영화, 지역 독립 영화"
216,로컬 크리에이터,,지역 가치 창출가
217,로컬 트립,,지역 여행 
218,로컬 페어 트레이드,,지역형 공정 무역
219,로컬택트,,지역 울타리 활동
220,로테크,로우테크,단순 기술
221,로하스,,친환경살이
222,론드리,"런드리, 런더리","세탁소, 세탁물"
223,롤 오버,,만기 연장
224,롱 코비드,,코로나 감염 후유증
225,롱 폼,,"긴 영상, 긴 형식"
226,루미나리아,루미나리에,"불빛 축제, 불빛 잔치, 불빛 조명 시설"
227,르포,,"현지 보고, 보고 기사, 현장 보고, 현장 보고서"
228,리걸테크,,"법률 정보 기술, 법률 정보 기술 서비스"
229,리넨,린넨,"마, 마직물"
230,리디노미네이션,,화폐 단위 변경
231,리딩 브랜드,,"으뜸 상표, 주도 상표"
232,리미티드 런,,기간 한정 공연
233,리버서블,리버시블,"양면으로 쓰는, 양면 사용, 양면"
234,리버스,,"역전, 역(逆), 거꾸로"
235,리버스 멘토링,,"역상담, 역지도, 거꾸로 상담, 거꾸로 지도 "
236,리벤지 포르노,,보복성 음란물
237,리브랜딩,,상표 새 단장
238,리빌드,리빌딩,재구성
239,리빙 랩,,생활 실험실
240,리빙 트립,,살아 보기 여행
241,리빙 페어,,생활 산업 박람회
242,리서치 헤드,,수석 연구원
243,리세션,,경기 후퇴
244,리셀 테크,,재판매 투자
245,리소그래피,리소그라피,"석판 인쇄, 평판 인쇄, 광학 인쇄, 기판 인쇄, 패턴 형성 기술"
246,리쇼어링,,국내 복귀
247,리스 백,,매각 차용
248,리스 산업,,임대업
249,리스케줄링,,"채무 상환 조정, 채무 재조정, 일정 조정"
250,리스토어,,복원
251,리시빙,,받기
252,리어 휠,,뒷바퀴
253,리오프닝,,"재개, 재개막, 재개관, 재개통"
254,리유저블 컵,,다회용 컵
255,리커버,,새 표지
256,리크루팅,리쿠르팅,"채용 (활동), 모집 활동, 구인 활동"
257,리크리에이트,,재창조
258,리터러시,,"문해력, 이해력"
259,리테일,,"소매, 소매 금융"
260,리테일 스토어,,소매점
261,리테일 테크,,첨단 소매 유통 기술
262,리테일러,,소매업자
263,리틀 시어터,,소극장
264,리퍼브,리퍼,손질 상품
265,리프 프로깅,립 프로깅,"기술 도약, 기술 혁신"
266,리프레시 데이,,재충전의 날
267,리플라이,,"답변, 회답, 회신"
268,리플렉스,,"반사판, 반사"
269,리플릿,리플렛,"광고지, 홍보지, 홍보 책자, 홍보 전단, 광고 쪽지, 홍보물, 안내문"
270,리플족,,"댓글족, 답글족"
271,리필스테이션,,"채우기 구역_가게_상점_공간, 충전소"
272,릴랙스 웨어,릴렉스 웨어 ,"휴식복, 편의복"
273,릴레이 골,,연속 골
274,릴리스,릴리즈,"출시, 배포"
275,링크 텍스트,,연결 문서
276,링크스,,바닷가 골프장(운동)
277,링클 프리,,구김 방지
278,마니페스토,매니페스토,참공약
279,마리나,,해안 유원지
280,마스터 리스,,재임대
281,마이너 캐릭터,,주변 인물
282,마이너리티,,"소수 집단, 소수자"
283,마이스,MICE,전시 복합 산업
284,마이크로 데이터,,기초 자료
285,마이크로 러닝,,"단기 학습, 짤막 학습"
286,마이크로 미디어,,개인 매체
287,마이크로 브루어리,마이크로 브루어리,소규모 맥주 공장
288,마이크로 투어리즘,마이크로 투어,근거리 여행
289,마이크로그리드,,소규모 독립형 전력망
290,마이크로바이옴,,인체 미생물 유전 정보
291,마일스톤,,"이정표, 중요 단계"
292,마켓 셰어,마켓 쉐어,시장 점유(율)
293,마켓 테스트,,시범 판매
294,마크로 노믹스,매크로 노믹스,마크롱 경제 정책
295,마타도어,마타도르,"흑색 선전, 모략 선전"
296,매니시,,남성적
297,매니시 룩,,남성풍
298,매니지드 서비스,,위탁 관리 서비스
299,매니징 디렉터,,경영 감독
300,매스 게임,,집단 체조
301,매스 미디어,,대중 매체
302,매스티지,,"대중 명품, 준명품, 명품의 대중화"
303,매치 메이킹,,"상대 결정, 상대 정하기"
304,매치업,,"맞대결, 대진, 일대일"
305,매칭 그랜트,,"동반 기부, 대응 기부, 상호 맞춤 후원"
306,매칭 데이,,"이음의 날, 연결의 날"
307,매칭 펀드,,"대응 자금, 대응 기금, 공동 자금 출자, 연계 투자 "
308,매핑,맵핑,"도표화, 지도화, 투영, 투사,  사상(寫象)"
309,맥시멀리스트,,최대주의자
310,맥시멀리즘,,최대주의
311,머그 숏,머그 샷  (제도),피의자 사진 (공개 제도)
312,머스트 해브,,필수(품)
313,머신 랭귀지,,기계어
314,머천다이징,,상품화
315,멀티 사인,멀티 싸인,"다중 신호, 무전력 광고판"
316,멀티 스폿,멀티 스팟,"다면, 다중, 다각도"
317,멀티 유즈,멀티 유스,다용도
318,멀티 커리어리즘,,겸업 현상
319,멀티 페르소나,,다면(적) 자아
320,멀티데믹,,감염병 복합 유행
321,메가 리전,,초거대 도시 연결권
322,메가 뱅크,,"거대 은행, 초대형 은행"
323,메가 에프티에이,메가 FTA,다자간 자유 무역 협정
324,메가 폴리스,,거대 도시
325,메디 시티,메디컬 시티,의료 도시
326,메디 푸드,메디컬 푸드,"의료식, 특수 영양 식품"
327,메디컬 비자,,"의료 비자, 의료 사증"
328,메세나,,"문예 후원, 예술 후원"
329,메이커 교육,,창조 혁신 교육
330,메이커 스페이스,,열린 제작실
331,메이커스,,"제작자, 제조업체 "
332,메이커스 랩,,창조 혁신 실험실
333,메인스트림,,주류
334,메커트로닉스,,전자 정보 기계
335,메타 패션,,가상 세계 패션
336,메타데이터,,"설명 데이터, 해당 대상 설명 데이터, 정의 데이터, 속성 정보"
337,메타포,,은유
338,메탈릭,,금속성
339,모노톤,,"단색조, 무채색"
340,모던 리얼리즘,,현대 사실주의
341,모듈러 주택,모듈라 주택,조립식 주택
342,모라토리엄,,지불 유예 (기간)
343,모럴,모랄,"도덕, 도덕적"
344,모럴 해저드,모랄 해저드,도덕적 해이
345,모멘텀,,전환 국면
346,모바일 아이에스피,모바일 ISP,모바일 인터넷 서비스 사업자
347,모빌리티 플랫폼,,온라인 이동 수단 거래터
348,모션 그래픽,,동작 그래픽
349,모션 컨트롤,모션 콘트롤,"동작 제어, 동작 제어법"
350,모티켓,,통신 예절
351,무드 보드,,"발상 모음 판, 아이디어 모음 판"
352,무비 트레일러,,예고편
353,뮤지엄 숍,"뮤지엄 샵, 뮤지업 샾","박물관 상점, 박물관 기념품점, 박물관 가게"
354,뮤지엄 콤플렉스,뮤지엄 컴플렉스,"국립 박물관 복합 단지, 박물관 단지"
355,미니멀 드레싱,,"최소 차림, 최소 차림법"
356,미니멀 아트,,단순 미술
357,미니멈 개런티,,최소 보장 금액
358,미니아튀르,,세밀화
359,미닝 아웃,,소신 소비
360,미들 파워,,중재 국가
361,미디어 글라스,미디어 글래스,"외벽 영상 유리, 영상 투영 유리"
362,미디어 리터러시,,매체 이해력
363,미디어 믹스,,매체 활용 전략
364,미디어 스크램블,미디어 스크럼블,매체 혼합
365,미디어 스트리트,,"거리 매체, 매체거리"
366,미디어 월,,"벽면 전광판, 내벽 영상, 벽면 영상, 벽면 매체 예술"
367,미러 시트,,안심 거울
368,미스터리 쇼퍼,,"비밀 평가원, 암행 평가원"
369,미스트파고라,미스트파고라,"안개 그늘막, 안개 분사 그늘막, 물 분무 그늘막, 물 나오는 그늘막, 물 나오는 해 가리개"
370,미코노미,,"자기중심 소비, 나를 위한 소비"
371,믹스트 존,,공동 취재 구역
372,밀랍 백,비즈 왁스 백,"밀랍 가방, 밀랍 봉투"
373,밀리터리 배낭,,"군대 배낭, 군인 배낭, 군용 배낭"
374,밋업,미트업,"설명회, 만남"
375,밋업 데이,미트업 데이,"전문가 모임, 관계자 모임"
376,바로미터,,"잣대, 지표, 척도"
377,바이 소셜,,상생 소비
378,바이럴 마케팅,,"입소문 마케팅, 입소문 판매"
379,바이백,,"되사기, 주식 되사기"
380,바이오 밸리,,생명 공학 지구
381,바이오 월,,수직 정원
382,바이오매스,,"생물량, 생물 에너지원"
383,바이오시밀러,,"생명 의약품 복제약, 동등 생물 의약품"
384,바이오클러스터,,생명 공학 협력 단지
385,바이오필리아,,생명 사랑
386,바이패스,,"우회  수용 불가, 환자 수용 불가, 우회(迂廻), 에돌기"
387,바인딩,,"조임, 조임쇠, 부착기"
388,박스 아웃,,"길 차단, 진로 방해"
389,방카쉬랑스,방카슈랑스,은행 연계 보험
390,배리어 프리,,"무장애, 무장벽, 장애물 없는, 장벽 없는"
391,백 브리핑,,덧보고
392,백 드롭,백 드랍,배경 막
393,밴사,,"결제 대행 업체, 신용 카드 결제망 사업자, 부가 가치 통신망 사업자"
394,밸류 체인,,"가치 사슬, 공급망, 공급 체계"
395,밸류에이션,,"가치 평가, 평가 가치"
396,밸리 효과,,"후유증, 올림픽 후유증"
397,버드 스트라이크,,"조류 충돌 사고, 항공기 조류 충돌 사고"
398,버즈 마케팅,,입소문 마케팅
399,버추얼,,가상
400,버튼홀,,단춧구멍
401,버티컬 라인,"바티칼 라인, 버티칼 라인, 바티컬 라인",수직선
402,버티컬 크로스,"바티칼 크로스, 버티칼 크로스, 바티컬 크로스",수직 이동
403,벅스킨,,사슴 가죽
404,번들링,번들,"묶음 판매, 끼워 팔기"
405,번인 현상,,"잔상 현상, 화면 잔상 현상"
406,벙커링,,급유
407,베그패커,,구걸 배낭족
408,베이비 스텝,,소폭 조정
409,베이비 페어,,육아용품 박람회
410,베이비 플래너,,육아 설계사
411,베이퍼웨어,,신기루 상품
412,베팅 존,,돈 걸기 구역
413,벤더,밴더,"중간 유통업자, 판매사"
414,벤더 페어,밴더 페어,행상 주선 박람회
415,벤처 캐피털,"벤쳐 캐피털, 벤쳐 캐피탈, 벤처 캐피탈","벤처 투자사, 벤처 투자 자본"
416,벤치 클리어링,,"몸싸움, 집단 몸싸움, 선수단 몸싸움"
417,벤치워머,,"대기, 대기 선수, 후보 선수"
418,보디 카피,바디 카피,광고 문안
419,보어 아웃,,권태 증후군
420,보텀업,바텀업,상향식
421,보틀넥,바틀넥,병목 현상
422,볼라드,,"진입 방지 말뚝, 길 말뚝"
423,볼런티어,"발룬티어, 밸런티어, 벨런티어",자원봉사자
424,볼런티어 페어,,자원봉사(자) 박람회
425,북 섹션,,"책 소개 면, 책 소개란"
426,북 코칭,,독서 지도
427,북 큐레이션,,"책 추천, 추천 도서 목록"
428,북 세러피,북 테라피,"독서 치료, 독서 치유, 책 읽기 치료법"
429,북 텔러,,책 읽어 주는 사람
430,북 페어,,도서 박람회
431,북바캉스,북캉스,"독서 휴가, 독서 피서"
432,붐 업,,"활성화, 띄우기"
433,뷰박스,,손 세정 검사기
434,뷰파인더,,보기 창
435,브라운 백 미팅,,"도시락 토론회, 도시락 모임, 도시락 회의"
436,브레인 포그,,뇌 흐림
437,브레인스토밍,,"자유 토론, 난상 토론, 발상 모으기"
438,브로슈어,,"안내서, 소책자"
439,블라인드 트러스트,,"백지 위임, 백지 신탁(제)"
440,블라인드 티켓,,출연진 미공개 할인표
441,블라인드 펀드,,"투자처 미특정 기금, 선모집 후투자 기금"
442,블랙마켓,,암시장
443,블로그스킨,,블로그 디자인
444,블록 세일,블럭 세일,주식 일괄 매각
445,블루 이코노미,,청색 경제
446,블루 존,,"안전 지역, 보호 구역, 청정 지역"
447,블루 플래그,,"청색 깃발, 친환경 해수욕장"
448,블루벨트,,"청정 수역, 근해 보호 지역, 수산 자원 보호 지역"
449,블루진,,청바지
450,블루 푸드 산업,,수산 식품 산업
451,비건 레더,,"인조 가죽, 비동물성 가죽"
452,비비에스,BBS,게시판 체계
453,비욘드 코로나,,"코로나 너머, 코로나 넘기"
454,비전 드로잉,,"핵심 가치 이미지화, 성장 가치 디자인"
455,비주얼 노블,비주얼 노벨,"소설형 게임, 그림 소설"
456,비주얼 디스플레이,,"시각 표시, 영상 표시"
457,비즈 매칭,,사업자 연계
458,비치코밍,,해변 정화
459,비트 메이커,,비트 제작자
460,빅 바이어,,"큰손 구매자, 유력 구매자, 주요 구매자"
461,빅 블러,,탈경계
462,빅 스텝,,대폭 조정
463,빅 테크,,"정보 기술 대기업, 거대 정보 기술"
464,빅 텐트,,"초당파 연합, 포괄 정당"
465,빈지워칭,,몰아 보기
466,사보타주,사보타지,태업
467,사이니지,,"(맞춤형) 광고판, 간판, 표지판"
468,사이버 론,,온라인 대출
469,사이버 인프라,,전자 정보 공유 기반 시설
470,사이버 불링,,"사이버 괴롭힘, 사이버 폭력"
471,사일런트,,"무성 영화, 말 없는, 조용한"
472,사일로,,"저장탑, 저장 창고, 사료‧곡물 저장탑"
473,섀도 캐비닛,섀도우 캐비닛,그림자 내각
474,서든 데스,,"즉각 퇴출, 단판 승부"
475,서머리,,"간추림, 요약, 개요"
476,서밋,서미트,"회담, 정상 회담"
477,서스펜더,,멜빵
478,서킷,,회로
479,서킷 보드,,회로판
480,서킷 브레이커,서킷 브레이크,"일시 매매 정지, 주식 거래 중단 제도"
481,서티피케이션,,인증서
482,서핑 비치,,서핑 해변
483,성인 풀,,"성인 인력 은행, 성인 수영장"
484,세이버,,지킴이
485,세이빙,,"막음, 지킴, 선방"
486,세이프티 콜,,작업 중지 요청
487,세컨더리 보이콧,세컨드리 보이콧,"제3자 제재, 제3국 제재"
488,셀링,,판매
489,셀프 디펜스,,"자기 방어, 자가 방어, 자가 수비"
490,셧아웃,,"완봉, 공장 폐쇄"
491,셰어런팅,쉐어런팅,자녀 공개
492,셸터,쉘터,"피신처, 대피소, 보호소, 쉼터, 가림막 정거장"
493,소셜 다이닝,,밥상 모임
494,소셜 믹스,,어울 단지 (조성)
495,소셜 벤처,,사회적 벤처
496,소셜 섹터,,"사회 기여 부문, 사회 기여 공동체"
497,소셜 워커,,"사회 복지사, 사회 기여 노동자"
498,소싱,,"조달, 생산, 대외 구매"
499,소트,솔트,정렬
500,소퍼모어 징크스,,"후속작 증후군, 2년 차 증후군"
501,소프트 랜딩,,연착륙
502,소프트 파워,,"문화적 영향력, 부드러운 힘"
503,솔라 시티,,"태양 에너지 도시, 햇살 도시"
504,솔리언,,"또래 상담, 또래 상담사, 도움 친구"
505,쇼트 리스트,숏 리스트,최종 후보 명단
506,쇼트 폼,숏폼,"짧은 영상, 짧은 형식"
507,숍 마스터,"숍마, 샵 마스터","매장 담당, 매장 담당자"
508,숍 인 숍,샵 인 샵,어울가게
509,수출 셰어,수출 쉐어,수출 점유율
510,슈 메이커,슈즈 메이커,신발 제작자
511,슈링클스,,열 수축 플라스틱 종이
512,슈퍼 사이클,수퍼 사이클,"장기 호황, 장기 가격 상승, 초호황"
513,슈퍼 체인,수퍼 체인,"대형 연쇄점, 대형 잡화 연쇄점"
514,스니즈 가드,,침방울 가림막
515,스리디,"3D, 쓰리디","3차원, 입체"
516,스리디 매핑,"3D 매핑, 3D 맵핑, 스리디 맵핑, 쓰리디 매핑, 쓰리디 맵핑","입체 영상 투영, 삼차원 투영, 입체 투사법, 삼차원 투사법, 입체 투사 기법, 입체 투사 영상 기법"
517,스마트 가든,,지능형 정원
518,스마트 공항,,"지능형 공항, 첨단 공항"
519,스마트 국방,,"지능형 국방, 첨단 국방"
520,스마트 그리드,,지능형 전력망
521,스마트 글라스,스마트 글래스,지능형 안경
522,스마트 러닝 팩토리,,지능형 실습 공장
523,스마트 빌리지,,지능형 마을
524,스마트 셸터,"스마트 셀터, 스마트 쉘터",복합 기능 쉼터
525,스마트 솔라 트리,,"지능형 태양광 나무, 나무형 태양광 발전기, 지능형 나무 벤치, 지능형 태양광 나무형 벤치"
526,스마트 워크,,원격 근무
527,스마트 웰니스,,"지능형 건강 관리, 개인 맞춤형 차세대 건강 돌봄"
528,스마트 폴,,지능형 기둥
529,스마트 랩,,"지능형 실험실, 자동화 실험실"
530,스마트 플러그,,지능형 플러그
531,스몰 딜,,"부분적 합의, 부분적 협상"
532,스몰 라이선스,스몰 라이센스,소규모 인허가
533,스와프,스왑,"(주식) 맞교환, (국가 간) 통화 맞교환"
534,스웰링,,"배부름, 팽창, 부풂"
535,스위치히터,,양손 타자
536,스위칭,,"전환, 바꾸기"
537,스윔슈트,스위밍 슈트,수영복
538,스윙 보터,,유동 투표층
539,스카이 브리지,스카이 브릿지,구름다리
540,스케일업,,"확장, 확대"
541,스쿨 팜,,학교 텃밭
542,스크리닝,,"선별, 훑어보기, 점검, 수비 차단"
543,스크립터,,"촬영 기록자, 구성 작가"
544,스키드 마크,,타이어 (밀린) 자국
545,스타일 테크,,"스타일 첨단 기술, 첨단 패션 기술, 첨단 뷰티 기술, 첨단 패션 뷰티 기술"
546,스탠드스틸,,"이동 제한, 일시 이동 제한, 현상 동결 합의"
547,스탬프 랠리,스템프 랠리,도장 찍기 대회
548,스탬프 존,스템프 존,도장 찍기 구역
549,스테이어,,"장거리 경주마, 버팀인"
550,스테이케이션,,근거리 휴가
551,스텝 박스,,"디딤 발판, 디딤대, 계단 운동 발판"
552,스텝업,,"(단계) 상승, 인상"
553,스토리노믹스,,이야기 산업
554,스토리지,,"정보 저장, 저장 장치, 기억, 기억 장치, 저장소"
555,스토핑,스톱핑,정지시키기
556,스톡,,"잔액, 잔량"
557,스톱오버,스탑오버,경유지 체류
